,userID,count,mean,std,min,25%,50%,75%,max
0,1,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
1,17,2.0,17.0,0.0,17.0,17.0,17.0,17.0,17.0
2,22,70.0,22.0,0.0,22.0,22.0,22.0,22.0,22.0
3,43,1.0,43.0,,43.0,43.0,43.0,43.0,43.0
4,45,1.0,45.0,,45.0,45.0,45.0,45.0,45.0
5,58,11.0,58.0,0.0,58.0,58.0,58.0,58.0,58.0
6,61,56.0,61.0,0.0,61.0,61.0,61.0,61.0,61.0
7,65,3.0,65.0,0.0,65.0,65.0,65.0,65.0,65.0
8,66,50.0,66.0,0.0,66.0,66.0,66.0,66.0,66.0
9,67,160.0,67.0,0.0,67.0,67.0,67.0,67.0,67.0
10,68,98.0,68.0,0.0,68.0,68.0,68.0,68.0,68.0
11,69,183.0,69.0,0.0,69.0,69.0,69.0,69.0,69.0
12,75,2.0,75.0,0.0,75.0,75.0,75.0,75.0,75.0
13,76,3.0,76.0,0.0,76.0,76.0,76.0,76.0,76.0
14,159,44.0,159.0,0.0,159.0,159.0,159.0,159.0,159.0
15,160,13.0,160.0,0.0,160.0,160.0,160.0,160.0,160.0
16,162,88.0,162.0,0.0,162.0,162.0,162.0,162.0,162.0
17,167,1.0,167.0,,167.0,167.0,167.0,167.0,167.0
18,171,23.0,171.0,0.0,171.0,171.0,171.0,171.0,171.0
19,176,4.0,176.0,0.0,176.0,176.0,176.0,176.0,176.0
20,183,1.0,183.0,,183.0,183.0,183.0,183.0,183.0
21,190,4.0,190.0,0.0,190.0,190.0,190.0,190.0,190.0
22,214,1.0,214.0,,214.0,214.0,214.0,214.0,214.0
23,216,39.0,216.0,0.0,216.0,216.0,216.0,216.0,216.0
24,222,49.0,222.0,0.0,222.0,222.0,222.0,222.0,222.0
25,231,23.0,231.0,0.0,231.0,231.0,231.0,231.0,231.0
26,232,18.0,232.0,0.0,232.0,232.0,232.0,232.0,232.0
27,234,82.0,234.0,0.0,234.0,234.0,234.0,234.0,234.0
28,241,2.0,241.0,0.0,241.0,241.0,241.0,241.0,241.0
29,242,35.0,242.0,0.0,242.0,242.0,242.0,242.0,242.0
30,243,53.0,243.0,0.0,243.0,243.0,243.0,243.0,243.0
31,248,126.0,248.0,0.0,248.0,248.0,248.0,248.0,248.0
32,249,3.0,249.0,0.0,249.0,249.0,249.0,249.0,249.0
33,250,1.0,250.0,,250.0,250.0,250.0,250.0,250.0
