,userID,userID,userID,userID,userID,userID,userID,userID,kWhRequested,kWhRequested,kWhRequested,kWhRequested,kWhRequested,kWhRequested,kWhRequested,kWhRequested
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
userID,,,,,,,,,,,,,,,,
1,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
17,2.0,17.0,0.0,17.0,17.0,17.0,17.0,17.0,2.0,10.379999999999999,4.893178925810909,6.92,8.649999999999999,10.379999999999999,12.11,13.84
22,70.0,22.0,0.0,22.0,22.0,22.0,22.0,22.0,70.0,35.25785714285714,18.78352005818924,10.5,22.6625,31.5,42.0,84.0
43,1.0,43.0,,43.0,43.0,43.0,43.0,43.0,1.0,43.4,,43.4,43.4,43.4,43.4,43.4
45,1.0,45.0,,45.0,45.0,45.0,45.0,45.0,1.0,17.5,,17.5,17.5,17.5,17.5,17.5
58,11.0,58.0,0.0,58.0,58.0,58.0,58.0,58.0,11.0,72.81818181818181,23.31874002521655,6.0,70.5,81.0,82.5,90.0
61,56.0,61.0,0.0,61.0,61.0,61.0,61.0,61.0,56.0,14.0,10.901209274037612,5.0,7.5,10.0,17.5,62.5
65,3.0,65.0,0.0,65.0,65.0,65.0,65.0,65.0,3.0,37.2,20.78460969082653,25.2,25.2,25.2,43.2,61.2
66,50.0,66.0,0.0,66.0,66.0,66.0,66.0,66.0,50.0,12.737599999999993,5.341482848461482,3.57,8.0,12.52,16.0,28.0
67,160.0,67.0,0.0,67.0,67.0,67.0,67.0,67.0,160.0,55.7953125,9.05175857140828,5.0,55.0,60.0,60.0,60.0
68,98.0,68.0,0.0,68.0,68.0,68.0,68.0,68.0,98.0,15.862857142857138,5.647693078895319,6.0,12.84,15.0,19.26,44.0
69,183.0,69.0,0.0,69.0,69.0,69.0,69.0,69.0,183.0,29.7103825136612,9.018189882342151,8.0,20.0,30.0,40.0,40.0
75,2.0,75.0,0.0,75.0,75.0,75.0,75.0,75.0,2.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0
76,3.0,76.0,0.0,76.0,76.0,76.0,76.0,76.0,3.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0
159,44.0,159.0,0.0,159.0,159.0,159.0,159.0,159.0,44.0,20.78590909090909,5.857294525148455,4.0,20.0,20.0,22.0,52.0
