,WhPerMile,kWhRequested,milesRequested,minutesAvailable,modifiedAt,paymentRequired,requestedDeparture,userID
0,350,59.5,170,550,"Mon, 30 Apr 2018 15:08:54 GMT",True,"Tue, 01 May 2018 00:17:49 GMT",22
1,400,8.0,20,60,"Mon, 07 May 2018 14:38:32 GMT",True,"Mon, 07 May 2018 15:38:18 GMT",61
2,400,8.0,20,648,"Mon, 07 May 2018 15:40:44 GMT",True,"Tue, 08 May 2018 01:26:18 GMT",61
3,400,28.0,70,648,"Mon, 07 May 2018 15:41:04 GMT",True,"Tue, 08 May 2018 01:26:18 GMT",61
4,350,17.5,50,546,"Fri, 11 May 2018 15:18:23 GMT",True,"Sat, 12 May 2018 00:23:01 GMT",22
5,350,38.5,110,546,"Fri, 11 May 2018 23:20:36 GMT",True,"Sat, 12 May 2018 00:23:01 GMT",22
6,400,8.0,20,60,"Mon, 14 May 2018 13:51:52 GMT",True,"Mon, 14 May 2018 14:50:26 GMT",66
7,250,5.0,20,611,"Tue, 15 May 2018 00:06:56 GMT",True,"Tue, 15 May 2018 10:17:39 GMT",61
8,250,5.0,20,83,"Wed, 16 May 2018 00:13:07 GMT",True,"Wed, 16 May 2018 01:35:53 GMT",61
9,400,12.0,30,60,"Wed, 16 May 2018 18:26:58 GMT",True,"Wed, 16 May 2018 19:24:08 GMT",68
10,400,12.0,30,237,"Wed, 16 May 2018 18:30:03 GMT",True,"Wed, 16 May 2018 22:21:08 GMT",68
11,400,20.0,50,237,"Wed, 16 May 2018 21:56:43 GMT",True,"Wed, 16 May 2018 22:21:08 GMT",68
12,400,16.0,40,490,"Mon, 21 May 2018 13:49:54 GMT",True,"Mon, 21 May 2018 21:59:23 GMT",66
13,400,40.0,100,361,"Mon, 21 May 2018 16:08:58 GMT",True,"Mon, 21 May 2018 22:08:19 GMT",69
14,350,28.0,80,542,"Tue, 22 May 2018 15:24:04 GMT",True,"Wed, 23 May 2018 00:25:09 GMT",22
15,400,12.0,30,518,"Wed, 23 May 2018 16:03:23 GMT",True,"Thu, 24 May 2018 00:41:12 GMT",66
